course,department,weights,fpc
201,biology,4.7,47
490,biology,4.7,47
154,biology,4.7,47
432,biology,4.7,47
347,biology,4.7,47
250,biology,4.7,47
304,biology,4.7,47
427,biology,4.7,47
329,biology,4.7,47
665,biology,4.7,47
410,chem,5,20
531,chem,5,20
630,chem,5,20
302,chem,5,20
250,compsci,4.833333333333333,29
330,compsci,4.833333333333333,29
520,compsci,4.833333333333333,29
216,compsci,4.833333333333333,29
650,compsci,4.833333333333333,29
323,compsci,4.833333333333333,29
260,evanth,5,15
585,evanth,5,15
220,evanth,5,15
590-02,math,4.7272727272727275,52
403,math,4.7272727272727275,52
605,math,4.7272727272727275,52
240,math,4.7272727272727275,52
531,math,4.7272727272727275,52
353,math,4.7272727272727275,52
545,math,4.7272727272727275,52
202,math,4.7272727272727275,52
221,math,4.7272727272727275,52
690-70,math,4.7272727272727275,52
565,math,4.7272727272727275,52
361,physics,5.4,27
465,physics,5.4,27
590,physics,5.4,27
271,physics,5.4,27
549,physics,5.4,27
106,psy,5,55
376,psy,5,55
436,psy,5,55
276,psy,5,55
690,psy,5,55
368,psy,5,55
426,psy,5,55
610,psy,5,55
274,psy,5,55
318,psy,5,55
221,psy,5,55
104,neurosci,5.2,26
340,neurosci,5.2,26
376,neurosci,5.2,26
503,neurosci,5.2,26
353,neurosci,5.2,26
230,sta,4.8,24
101,sta,4.8,24
602,sta,4.8,24
641,sta,4.8,24
240,sta,4.8,24
