course,department,number_of_textbook,cost_of_textbook,weights,fpc
201,biology,1,186.75,4.7,47
490,biology,0,0,4.7,47
154,biology,0,0,4.7,47
432,biology,0,0,4.7,47
347,biology,0,0,4.7,47
250,biology,0,0,4.7,47
304,biology,1,156.25,4.7,47
427,biology,0,0,4.7,47
329,biology,1,191,4.7,47
665,biology,0,0,4.7,47
410,chem,2,417.5,5,20
531,chem,1,162.75,5,20
630,chem,0,0,5,20
302,chem,2,127.75,5,20
250,compsci,0,0,4.833333333,29
330,compsci,0,0,4.833333333,29
520,compsci,0,0,4.833333333,29
216,compsci,0,0,4.833333333,29
650,compsci,0,0,4.833333333,29
323,compsci,1,74.99,4.833333333,29
260,evanth,1,17,5,15
585,evanth,0,0,5,15
220,evanth,0,0,5,15
590-02,math,1,66,4.727272727,52
403,math,1,111,4.727272727,52
605,math,1,78,4.727272727,52
240,math,0,0,4.727272727,52
531,math,1,163,4.727272727,52
353,math,1,105.75,4.727272727,52
545,math,1,62,4.727272727,52
202,math,0,0,4.727272727,52
221,math,1,265,4.727272727,52
690-70,math,0,0,4.727272727,52
565,math,0,0,4.727272727,52
361,physics,0,0,5.4,27
465,physics,0,0,5.4,27
590,physics,0,0,5.4,27
271,physics,0,0,5.4,27
549,physics,0,0,5.4,27
106,psy,0,0,5,55
376,psy,0,0,5,55
436,psy,0,0,5,55
276,psy,0,0,5,55
690,psy,0,0,5,55
368,psy,0,0,5,55
426,psy,0,0,5,55
610,psy,0,0,5,55
274,psy,1,149.5,5,55
318,psy,0,0,5,55
221,psy,1,253.5,5,55
104,neurosci,0,0,5.2,26
340,neurosci,0,0,5.2,26
376,neurosci,0,0,5.2,26
503,neurosci,0,0,5.2,26
353,neurosci,0,0,5.2,26
230,sta,0,0,4.8,24
101,sta,1,57.5,4.8,24
602,sta,1,69.99,4.8,24
641,sta,0,0,4.8,24
240,sta,0,0,4.8,24
